REVENUE,NAME,EMAIL,FIRST_NAME,FAMILY_NAME,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,CANCELLATIONS_AFTER_NOON,PC_LOGINS,MOBILE_LOGINS,WEEKLY_PLAN,LATE_DELIVERIES,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,AVG_MEAN_RATING,TOTAL_PHOTOS_VIEWED
4920.00,Steffon Baratheon,steffon.baratheon@yahoo.com,Steffon,Baratheon,493,9,1,10,265.60,5,5,2,0,0,137.41,6,2.9,456
6150.00,Harlon Greyjoy,harlon.greyjoy@visa.com,Harlon,Greyjoy,361,9,1,6,247.00,2,5,1,0,0,120.20,5,2.6,680
3435.00,Monster,monster@protonmail.com,Monster,Monster,278,6,1,4,164.40,0,6,1,5,0,127.00,3,3.7,145
3330.00,Damon Lannister (lord),damon.lannister.(lord)@yahoo.com,Damon,Lannister ,269,8,1,2,176.00,5,5,2,0,0,129.78,6,3.2,418
3427.50,Raynald Westerling,raynald.westerling@jnj.com,Raynald,Westerling,276,7,1,10,164.60,0,6,1,14,0,34.42,3,3.2,174
2917.50,Rollam Westerling,rollam.westerling@jnj.com,Rollam,Westerling,246,7,1,2,240.30,1,5,1,20,0,240.90,8,4.5,16
3901.50,Utt,utt@passport.com,Utt,Utt,316,10,1,5,183.80,2,5,2,46,4,140.01,6,3.2,584
5000.00,Bandy,bandy@aol.com,Bandy,Bandy,251,10,1,1,269.60,4,5,2,40,0,143.00,8,2.9,1095
3090.00,Rickard Karstark,rickard.karstark@live.com,Rickard,Karstark,256,7,1,5,218.40,2,6,1,30,0,120.34,6,2.9,198
5745.00,Androw Frey,androw.frey@protonmail.com,Androw,Frey,297,8,1,6,266.80,1,6,1,32,0,140.88,8,2.9,664
2880.00,Clement Piper,clement.piper@protonmail.com,Clement,Piper,220,8,1,9,241.10,1,5,2,11,0,76.00,6,2.9,525
3433.50,Morton Waynwood,morton.waynwood@protonmail.com,Morton,Waynwood,277,8,1,3,169.60,0,5,2,45,0,108.94,5,2.4,240
3838.50,Rudge,rudge@travelers.com,Rudge,Rudge,203,8,1,10,261.00,5,4,2,33,0,90.00,9,3.9,13
2127.00,Shiera Crakehall,shiera.crakehall@gmail.com,Shiera,Crakehall,214,7,1,6,137.20,1,5,2,1,3,85.40,4,3.7,6
3043.50,Allaquo,allaquo@protonmail.com,Allaquo,Allaquo,251,7,1,6,199.20,3,6,1,12,0,92.75,7,3.4,768
5055.00,Baelor Targaryen (son of Daeron II),baelor.targaryen.(son.of.daeron.ii)@live.com,Baelor,Targaryen ,210,8,1,6,193.20,3,5,1,8,0,125.44,5,2.9,426
4800.00,Jon Wylde,jon.wylde@exxon.com,Jon,Wylde,270,9,1,2,201.80,1,7,2,12,0,131.14,8,2.9,6
5550.00,Sedgekins,sedgekins@chevron.com,Sedgekins,Sedgekins,216,8,1,1,240.20,1,6,2,22,0,155.31,8,2.9,200
4530.00,Jacks,jacks@protonmail.com,Jacks,Jacks,211,8,1,4,250.00,1,6,1,8,4,133.43,7,2.4,130
550.00,Manfred Lothston,manfred.lothston@goldmansacs.com,Manfred,Lothston,15,11,1,3,109.20,0,5,2,12,0,66.00,5,5.0,3
1220.00,Luke of Longtown,luke.of.longtown@me.com,Luke,of Longtown,35,5,1,4,129.80,3,6,2,3,8,83.12,4,4.7,14
1600.00,Lysa Meadows,lysa.meadows@caterpillar.com,Lysa,Meadows,37,7,1,4,130.80,0,5,2,14,11,100.00,5,4.7,4
